Name	Location	Price	Rent	Color Group
Mediterranean Avenue	1	60	2	Purple
Baltic Avenue	3	60	4	Purple 
Oriental Avenue	6	100	6	Light-Blue 
Vermont Avenue	8	100	6	Light-Blue
Connecticut Avenue	9	120	8	Light-Blue 
St. Charles Place	11	140	10	Violet
States Avenue	13	140	10	Violet
Virginia Avenue	14	160	12	Violet
St. James Place	16	180	14	Orange 
Tennessee Avenue	18	180	14	Orange  
New York Avenue	19	200	16	Orange  
Kentucky Avenue	21	220	18	Red  
Indiana Avenue	23	220	18	Red  
Illinois Avenue	24	240	20	Red  
Atlantic Avenue	26	260	22	Yellow  
Ventnor Avenue	27	260	22	Yellow  
Marvin Gardens	29	280	22	Yellow 
Pacific Avenue	31	300	26	Dark-Green
North Carolina Avenue	32	300	26	Dark-Green
Pennsylvania Avenue	34	320	28	Dark-Green
Park Place	37	350	35	Dark-Blue
Boardwalk	39	400	50	Dark-Blue
Electric Company	12	150	0	Utilities
Water Works	28	150	0	Utilities
Reading Railroad	5	200	0	Railroad
Pennsylvania Railroad	15	200	0	Railroad
B. & O. Railroad	25	200	0	Railroad
Shortline Railroad	35	200	0	Railroad
